Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric,168.648,-81.52,90,top
C2,100nF,C_1206_3216Metric,168.648,-86.6,90,top
C3,100nF,C_1206_3216Metric,168.72,-91.695,90,top
C4,100nF,C_1206_3216Metric,168.8,-96.875,90,top
C5,100nF,C_1206_3216Metric,168.53,-101.925,90,top
C6,100nF,C_1206_3216Metric,168.69,-107.065,90,top
C7,100nF,C_1206_3216Metric,168.61,-112.045,90,top
C8,100nF,C_1206_3216Metric,168.97,-117.255,90,top
C9,270uF,CP_Elec_10x10,146.46,-95.19,180,top
C10,10uF,C_1206_3216Metric,128.37,-113.8,0,top
C11,4.7uF,C_1206_3216Metric,151.765,-106.045,0,top
C12,0.01uF,C_1206_3216Metric,156.972,-112.825,270,top
C13,10uF,C_1206_3216Metric,158.496,-103.378,0,top
C14,220uF,CP_Elec_5x5.9,151.52,-85.45,270,top
C15,4.7uF,C_1206_3216Metric,151.765,-103.378,0,top
C16,47uF,C_Elec_6.3x5.8,157.23,-98,180,top
C17,10uF,C_1206_3216Metric,128.45,-95.82,0,top
C18,10uF,C_1206_3216Metric,128.48,-86.4,0,top
C19,10uF,C_1206_3216Metric,128.38,-104.7,0,top
C20,10uF,C_1206_3216Metric,128.58,-123.16,0,top
D1,B340,D_1206_3216Metric,159.92,-112.67,270,top
D2,DIODE,D_1206_3216Metric,132.464,-83.566,180,top
D3,DIODE,D_1206_3216Metric,132.464,-92.964,180,top
D5,DIODE,D_1206_3216Metric,132.204,-110.998,180,top
D6,LED,LED_1206_3216Metric,128.524,-82.296,90,top
D7,LED,LED_1206_3216Metric,128.524,-91.694,90,top
D8,LED,LED_1206_3216Metric,128.524,-100.838,90,top
D9,LED,LED_1206_3216Metric,128.524,-109.858,90,top
D10,DIODE,D_1206_3216Metric,132.588,-120.65,180,top
D11,DIODE,D_1206_3216Metric,132.204,-102.108,180,top
D14,LED,LED_1206_3216Metric,128.778,-119.38,90,top
DB107S1,DB107S,DIOB_DB107S,144.53641,-111.82158,270,top
F1,1A,Fuse_1206_3216Metric,154.47,-92.31,0,top
F2,1A,Fuse_1206_3216Metric,147.12,-103.31,270,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,120.72,-83.51,180,top
K2,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,120.73,-92.89,180,top
K3,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,120.74,-102.24,180,top
K4,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,120.76,-111.6,180,top
K5,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,120.76,-120.98,180,top
L2,22uH,L_0805_2012Metric,156.972,-106.68,90,top
Q1,PMBT3904YS,SOT-363_SC-70-6,132.654,-86.106,180,top
Q2,PMBT3904YS,SOT-363_SC-70-6,132.654,-95.504,180,top
Q3,PMBT3904YS,SOT-363_SC-70-6,132.37,-104.69,180,top
Q4,PMBT3904YS,SOT-363_SC-70-6,132.334,-113.538,180,top
Q5,PMBT3904YS,SOT-363_SC-70-6,132.908,-123.19,180,top
R1,1.2K,R_1206_3216Metric,179.82,-81.34,270,top
R2,1.2K,R_1206_3216Metric,179.86,-86.48,270,top
R3,1.2K,R_1206_3216Metric,179.91,-91.4475,270,top
R4,1.2K,R_1206_3216Metric,179.89,-96.55,270,top
R5,1.2K,R_1206_3216Metric,179.84,-101.71,270,top
R6,1.2K,R_1206_3216Metric,179.88,-106.67,270,top
R7,1.2K,R_1206_3216Metric,179.82,-111.67,270,top
R8,1.2K,R_1206_3216Metric,180.04,-116.94,270,top
R9,5K,R_1206_3216Metric,165.092,-82.79,0,top
R10,5K,R_1206_3216Metric,165.0305,-87.87,0,top
R11,5K,R_1206_3216Metric,165.1925,-92.87,0,top
R12,5K,R_1206_3216Metric,165.1725,-98.1,0,top
R13,5K,R_1206_3216Metric,164.82,-103.11,0,top
R14,5K,R_1206_3216Metric,165.14,-108.23,0,top
R15,5K,R_1206_3216Metric,165.0325,-113.21,0,top
R16,5K,R_1206_3216Metric,165.3625,-118.49,0,top
R17,10K,R_1206_3216Metric,161.08,-118.51,270,top
R18,3.3K,R_1206_3216Metric,162.5,-123.34,0,top
R19,10K,R_1206_3216Metric,138.049,-82.4885,90,top
R20,10K,R_1206_3216Metric,138.049,-91.694,90,top
R22,10K,R_1206_3216Metric,138.049,-109.728,90,top
R23,2K,R_1206_3216Metric,132.334,-81.026,180,top
R24,1K,R_1206_3216Metric,136.9715,-86.106,180,top
R25,2K,R_1206_3216Metric,132.334,-90.424,180,top
R26,1K,R_1206_3216Metric,136.9715,-95.504,180,top
R29,2K,R_1206_3216Metric,132.334,-108.458,180,top
R30,1K,R_1206_3216Metric,136.5865,-113.538,180,top
R31,10K,R_1206_3216Metric,137.668,-119.38,90,top
R32,10K,R_1206_3216Metric,138.049,-100.838,90,top
R35,2K,R_1206_3216Metric,132.3955,-118.11,180,top
R36,1K,R_1206_3216Metric,136.8405,-123.19,180,top
R37,4.7K,R_1206_3216Metric,132.1415,-99.568,180,top
R38,1K,R_1206_3216Metric,136.6825,-104.67,180,top
U1,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,158.77,-84.81,180,top
U2,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,151.798,-112.395,0,top
U3,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,144.49,-84.97,180,top
U4,EL817,SOP254P700X200-4N,174.236,-81.52,180,top
U5,EL817,SOP254P700X200-4N,174.228,-86.6,180,top
U6,EL817,SOP254P700X200-4N,174.25,-91.71,180,top
U7,EL817,SOP254P700X200-4N,174.31,-96.82,180,top
U8,EL817,SOP254P700X200-4N,174.14,-101.88,180,top
U9,EL817,SOP254P700X200-4N,174.21,-106.96,180,top
U10,EL817,SOP254P700X200-4N,174.17,-112.04,180,top
U11,EL817,SOP254P700X200-4N,174.49,-117.08,180,top
