Ref,Qnty,Value,Footprint,LCSC Part #,
"C1, C2, C3, C4, C5, C6, C7, C8, ",8,100nF,Capacitor_SMD:C_1206_3216Metric,C24497,
"C9, ",1,270uF,Capacitor_SMD:CP_Elec_10x10,C311670,EXTENDED
"C10, C13, C17, C18, C19, C20, ",6,10uF,Capacitor_SMD:C_1206_3216Metric,C13585,
"C11, C15, ",2,4.7uF,Capacitor_SMD:C_1206_3216Metric,C29823,
"C12, ",1,0.01uF,Capacitor_SMD:C_1206_3216Metric,C1846,
"C14, ",1,220uF,Capacitor_SMD:CP_Elec_5x5.9,C3345,EXTENDED
"C16, ",1,47uF,Capacitor_SMD:C_Elec_6.3x5.8,C178565,EXTENDED
"D1, ",1,B340,Diode_SMD:D_1206_3216Metric,C64982,EXTENDED
"D2, D3, D5, D10, D11, ",5,DIODE,Diode_SMD:D_1206_3216Metric,C64898,
"D6, D7, D8, D9, D14, ",5,LED,LED_SMD:LED_1206_3216Metric,C412285,EXTENDED
"DB107S1, ",1,DB107S,DB107S:DIOB_DB107S,C5377,
"F1, F2,",2,1A,Fuse:Fuse_1206_3216Metric,C720075,EXTENDED
"J1, J2, ",2,Screw_Terminal_01x02,TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,C474892,EXTENDED
"J3, J4, J5, J6, J8, ",5,Screw_Terminal_01x03,TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,C557655,EXTENDED
"K1, K2, K3, K4, K5, ",5,G6K-2,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y,C47190,EXTENDED
"L2, ",1,22uH,Inductor_SMD:L_0805_2012Metric,C32375,
"Q1, Q2, Q3, Q4, Q5, ",5,PMBT3904YS,Package_TO_SOT_SMD:SOT-363_SC-70-6,C15879,
"R1, R2, R3, R4, R5, R6, R7, R8, ",8,1.2K,Resistor_SMD:R_1206_3216Metric,C17891,EXTENDED
"R9, R10, R11, R12, R13, R14, R15, R16, ",8,4.7K,Resistor_SMD:R_1206_3216Metric,C17936,
"R17, R19, R20, R22, R31, R32, ",6,10K,Resistor_SMD:R_1206_3216Metric,C17902,
"R18, ",1,3.3K,Resistor_SMD:R_1206_3216Metric,C26041,EXTENDED
"R23, R25, R29, R35, R37, ",5,2K,Resistor_SMD:R_1206_3216Metric,C17944,
"R24, R26, R30, R36, R38, ",5,1K,Resistor_SMD:R_1206_3216Metric,C4410,
"U1, U3, ",2,TXS0108EPW,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C17206,EXTENDED
"U2, ",1,TPS5430DDA,Package_SO:TI_SO-PowerPAD-8_ThermalVias,C9864,
"U4, U5, U6, U7, U8, U9, U10, U11, ",8,EL817,OptoDevice:SOP254P700X200-4N,C6649,
